image_path,label,width,height,image_hash,duplicate
./dataset/terrorist organizations meme offensive/Image_11.jpg,1,400,350,16da9f0a7a619bd1c7a565fcddd35586,0
./dataset/terrorist organizations meme offensive/Image_15.jpeg,1,860,987,d287b0ef30dc294c715d9d0115872843,1
./dataset/terrorist organizations meme offensive/Image_8.jpg,1,770,513,6cfae892d1f969c055079b6a9a29db50,1
./dataset/terrorist organizations meme offensive/Image_9.jpg,1,474,474,aaab166645f37132a2276a979befeff0,1
./dataset/terrorist organizations meme offensive/Image_18.jpeg,1,1029,980,d42dcc44f84732e9c7c59b7aa01a11ec,1
./dataset/terrorist organizations meme offensive/Image_3.jpg,1,918,516,e4f4a06f04762e804f4f8dc7a911b7ce,1
./dataset/terrorist organizations meme offensive/Image_1.JPG,1,1120,633,10254b60a8b0c75b47fe224ae83cc191,1
./dataset/terrorist organizations meme offensive/Image_4.png,1,500,418,080c03197793972b45c41b8b9ae27ee3,1
./dataset/terrorist organizations meme offensive/Image_20.jpeg,1,750,746,29fe207d2f99a5e35165726cdf6ea6d0,1
./dataset/terrorist organizations meme offensive/Image_5.jpg,1,936,1210,0335baa3f3cea192a6e0c613dc3fe915,1
./dataset/terrorist organizations meme offensive/Image_7.jpg,1,1024,1024,af965d1141166bd124fb91d14e3d0a5a,1
./dataset/terrorist organizations meme offensive/Image_16.jpeg,1,673,927,efd4315bb27380f6d1bbdb87081b1a2b,0
./dataset/terrorist organizations meme offensive/Image_6.jpg,1,611,407,49db4722ad6e3bb19b1882a6b418aa28,1
./dataset/terrorist organizations meme offensive/Image_19.jpg,1,1080,1090,1876894ad4d96d4a5168c15488f6b440,1
./dataset/climate change denial meme offensive/Image_15.jpg,1,1200,850,0992db24f49e4f703d49b7a5511f06c4,0
./dataset/climate change denial meme offensive/Image_14.jpg,1,671,896,00a1578c29657692b970dd35a9e97e4c,0
./dataset/climate change denial meme offensive/Image_16.jpg,1,710,473,37327b900fe783096541e6322e57bddd,0
./dataset/climate change denial meme offensive/Image_17.jpg,1,960,960,fffe42c86ce3131ea1cd55d04ef20c80,0
./dataset/climate change denial meme offensive/Image_13.jpg,1,889,806,b5ad9021cbad656e912d8db961d5a633,0
./dataset/climate change denial meme offensive/Image_12.jpg,1,614,246,c1e6199723e6976e1b347290dace5d78,0
./dataset/climate change denial meme offensive/Image_10.jpg,1,1440,1784,31736cf0bb4f18607db6918eb45d6c80,0
./dataset/climate change denial meme offensive/Image_11.jpg,1,881,1147,5df4b6ea1869d5706f0fde2d4f6e155b,0
./dataset/climate change denial meme offensive/Image_8.jpg,1,1600,900,c8ea5af33edb2b5bb7e30a57b1e8b7bf,0
./dataset/climate change denial meme offensive/Image_9.jpg,1,1600,900,020c7ae800a17c22e65614d6ba1dad89,0
./dataset/climate change denial meme offensive/Image_2.png,1,976,976,db76bb3d2a26c4e4cb23545921554127,0
./dataset/climate change denial meme offensive/Image_3.jpg,1,519,482,b5dc49713e3e17764933210c117653ea,0
./dataset/climate change denial meme offensive/Image_4.jpg,1,520,528,7e5de588cfd08cd1fcc28d5b2d845ebd,0
./dataset/climate change denial meme offensive/Image_5.JPG,1,1280,829,35efb84e3ef37d6ac23933c15bd8082b,0
./dataset/climate change denial meme offensive/Image_7.jpg,1,980,551,5bb1523ab8eafc66dec1ba23df469b40,0
./dataset/climate change denial meme offensive/Image_6.jpg,1,1920,1081,c496cb806f014c9222e3c7e0b37b196d,0
./dataset/climate change denial meme offensive/Image_20.jpg,1,2000,1529,54cfec0024eb02c4454270525272a061,0
./dataset/climate change denial meme offensive/Image_19.jpg,1,414,396,21c313790b12ea09b96801a271e8f6dc,0
./dataset/climate change denial meme offensive/Image_18.jpg,1,1800,945,17789fc571e4f164b0fdc80b2a168645,0
./dataset/gang violence meme offensive/Image_15.jpg,1,805,511,b11f83d7e3fd76efcc004fd5dafc316a,1
./dataset/gang violence meme offensive/Image_14.jpg,1,500,1184,b64ac03751a6b85592b95330fe1ddc1e,1
./dataset/gang violence meme offensive/Image_6.jpeg,1,640,622,6fdb570d23ca02d7f0b576f3727fbd3f,0
./dataset/gang violence meme offensive/Image_16.jpg,1,640,832,71442d9d852c50c0cee83d457159f56d,0
./dataset/gang violence meme offensive/Image_17.jpg,1,1200,810,5476eb98a339aa603cd43067caccced1,0
./dataset/gang violence meme offensive/Image_13.jpg,1,625,1045,64715b3d4525f700e64bc4649094ac32,1
./dataset/gang violence meme offensive/Image_11.jpg,1,1155,648,9d0503ed50f8617af3c0cfd37b079718,1
./dataset/gang violence meme offensive/Image_8.jpg,1,430,285,8d6794794ac926febebe4711e5bfbdda,0
./dataset/gang violence meme offensive/Image_2.jpg,1,1600,1200,ea99ec92d287847595794b35b2341014,1
./dataset/gang violence meme offensive/Image_1.png,1,512,512,602ff69e652046f7fb516f9fd4b5542a,0
./dataset/gang violence meme offensive/Image_5.jpg,1,400,400,3e3ddfdda6d200a3dce7cfc585348c84,0
./dataset/gang violence meme offensive/Image_7.jpg,1,600,396,f7c9c7145c94172dbcb5e299853fb4da,0
./dataset/gang violence meme offensive/Image_20.jpg,1,236,162,0ff976c05ad00087cf33e338f90b337b,0
./dataset/gang violence meme offensive/Image_10.jpeg,1,846,960,84cb22e4271cc9537f6ae6b474f73d97,0
./dataset/gang violence meme offensive/Image_9.jpeg,1,640,819,ebd8d82affd72884811efe6c5a00185e,0
./dataset/gang violence meme offensive/Image_19.jpg,1,512,382,02af4dccafd1fc4b4b5f59aec7050d43,0
./dataset/gang violence meme offensive/Image_18.jpg,1,491,720,f3d7cf65d996d6c06f2b47dc0bae3aea,1
./dataset/cultural appropriation meme offensive/Image_15.jpg,1,150,150,075bf971a3dd5df833341bef31d2d37f,0
./dataset/cultural appropriation meme offensive/Image_16.png,1,861,315,3342558a470945f14450e0af90e834e4,0
./dataset/cultural appropriation meme offensive/Image_17.png,1,335,642,ce564f3fb30ebebfe00239b5a5519696,0
./dataset/cultural appropriation meme offensive/Image_13.jpg,1,680,694,485f0a0d6c0876466edf5de32589940d,0
./dataset/cultural appropriation meme offensive/Image_12.jpg,1,571,363,a0da1c5703c9f178da03dfdad6be3094,0
./dataset/cultural appropriation meme offensive/Image_10.jpg,1,1024,536,d31271a02538a7a5994558f7e086d336,0
./dataset/cultural appropriation meme offensive/Image_11.png,1,768,768,f6c224429887731f6b8e5c324dcb1372,0
./dataset/cultural appropriation meme offensive/Image_8.jpg,1,680,761,cdebd562aab29fd9803370ebdeb9dff1,1
./dataset/cultural appropriation meme offensive/Image_9.jpg,1,635,960,6bb1b18bd91e06ce14998f447a053620,1
./dataset/cultural appropriation meme offensive/Image_14.jpeg,1,700,498,b16d226f3199402af44d9512b78504f7,0
./dataset/cultural appropriation meme offensive/Image_2.png,1,645,503,3090130f1fb2993c209e000fbc4803fa,0
./dataset/cultural appropriation meme offensive/Image_1.png,1,628,678,8ce3d30aea69c276aac0dcde65c67692,0
./dataset/cultural appropriation meme offensive/Image_4.jpg,1,914,478,e0340914981751b0d7ad02330bd07b76,0
./dataset/cultural appropriation meme offensive/Image_5.png,1,1200,675,e650a8c9aa4057f3416e39fb3f293b32,0
./dataset/cultural appropriation meme offensive/Image_7.png,1,1024,1055,6a1d7390f4401e0dc954a41840b1da4f,0
./dataset/cultural appropriation meme offensive/Image_6.jpg,1,1024,873,8044fe6c693e5bce0c09d74f82fbdae1,0
./dataset/cultural appropriation meme offensive/Image_20.jpg,1,396,558,cb2afd30d3f6a605f267129e72aa88b9,0
./dataset/cultural appropriation meme offensive/Image_19.jpg,1,1430,945,a2691145917e021876e702a8723eee3b,0
./dataset/cultural appropriation meme offensive/Image_18.jpg,1,570,800,306d20b9e15764a36fd6de147f85b0e8,0
./dataset/white supremacy meme offensive/Image_15.png,1,1822,960,3782485287ef899e9c1b29c9b5051733,0
./dataset/white supremacy meme offensive/Image_14.jpg,1,700,687,08dd9c814b2df2d2cd4a0d289ca720f8,0
./dataset/white supremacy meme offensive/Image_16.jpg,1,770,711,d5b0d40164920f20dd00c5589e07e144,1
./dataset/white supremacy meme offensive/Image_17.jpg,1,565,600,1a3a839b80cc1fecc8e8c850355b1b9f,0
./dataset/white supremacy meme offensive/Image_13.jpg,1,570,427,5b80e26c702241fa887d45b859e0eb17,0
./dataset/white supremacy meme offensive/Image_12.png,1,484,330,2093b84e05105bbbd3bebaeb06d55db4,0
./dataset/white supremacy meme offensive/Image_10.jpg,1,410,320,f2dc626cb026f694a869b3f016896430,0
./dataset/white supremacy meme offensive/Image_11.png,1,645,509,f5eb16194d8ff497132783f187dd7379,0
./dataset/white supremacy meme offensive/Image_8.jpg,1,570,428,f3df749469185dddfe792b7628494c06,0
./dataset/white supremacy meme offensive/Image_9.jpg,1,1180,1060,22eda8d0814eafe3bcb68cec2cb36e1f,0
./dataset/white supremacy meme offensive/Image_2.jpg,1,640,360,f7f8f4e63d96932187e8e47eef6539bb,0
./dataset/white supremacy meme offensive/Image_4.jpg,1,500,756,29d46797aa0720065c00bb3e668124a7,0
./dataset/white supremacy meme offensive/Image_5.jpg,1,500,524,13bc263e117341534a738d1d7338c5a6,0
./dataset/white supremacy meme offensive/Image_3.jpeg,1,750,589,8fb1bb91b37c4b711c352aa23d339836,0
./dataset/white supremacy meme offensive/Image_7.jpg,1,1500,1000,48f903de686c4032869e802b45f21b9a,0
./dataset/white supremacy meme offensive/Image_6.jpg,1,754,780,c3fb4feecdd3b044d226a722f24616ff,0
./dataset/white supremacy meme offensive/Image_20.png,1,1340,1200,f029c20b7d3a76c011a550c14edd4bdd,0
./dataset/white supremacy meme offensive/Image_19.png,1,1270,338,5f37ff3da5e9d7b56628b60a5c71ac73,0
./dataset/white supremacy meme offensive/Image_18.png,1,1366,518,0ca54e92bce0e696a520a44d44ead3a6,0
./dataset/fake conspiracy theories meme offensive/Image_15.jpg,1,1600,1700,36fd47a5f58be8ac7361581414d3caa2,0
./dataset/fake conspiracy theories meme offensive/Image_14.jpg,1,600,327,bf3505b08b860c6042a0539ddf11afc5,1
./dataset/fake conspiracy theories meme offensive/Image_16.jpg,1,700,466,48f4f3764dd86ae4c79e4d6002c58310,1
./dataset/fake conspiracy theories meme offensive/Image_13.jpg,1,500,413,615f291c915d1f685fe1ed5bd28135dc,0
./dataset/fake conspiracy theories meme offensive/Image_12.jpeg,1,460,455,b90ad017a894ed409821fb9e8ebb4639,1
./dataset/fake conspiracy theories meme offensive/Image_17.webp,1,501,488,30567a555565bb36b8276274ecb47880,0
./dataset/fake conspiracy theories meme offensive/Image_10.jpg,1,1000,1033,12d2cdf65738e36169bf306a3f34bd4f,1
./dataset/fake conspiracy theories meme offensive/Image_11.jpg,1,1200,800,854079abfc7edbe831cde7a13093e934,1
./dataset/fake conspiracy theories meme offensive/Image_8.jpg,1,1024,415,bc838ed0aa522d3f10cb6a6f712f5a2a,0
./dataset/fake conspiracy theories meme offensive/Image_9.jpg,1,520,480,597d4c1520743b68d86e1d4dcc7358bd,1
./dataset/fake conspiracy theories meme offensive/Image_18.jpeg,1,1010,1024,71ef75ba8bb52ec924f59df19e423317,1
./dataset/fake conspiracy theories meme offensive/Image_2.jpg,1,1710,900,23a2c5faad53bc68de924b732f6e9ebc,1
./dataset/fake conspiracy theories meme offensive/Image_3.jpg,1,960,411,32dcae465d790a2409727c97c6c3f6a9,1
./dataset/fake conspiracy theories meme offensive/Image_1.jpg,1,600,681,135e1110b1c15bbb82e76bed78a098e4,1
./dataset/fake conspiracy theories meme offensive/Image_4.jpg,1,1200,1681,67bce8a8171a54f28098c02a8467b817,1
./dataset/fake conspiracy theories meme offensive/Image_5.jpg,1,850,400,4908e5f49195c2688b7ffa95f47de668,1
./dataset/fake conspiracy theories meme offensive/Image_7.jpg,1,549,574,91e4b1bf26a1f67bdfe8327abf5a8ec6,1
./dataset/fake conspiracy theories meme offensive/Image_6.jpg,1,820,464,6e898c15cd77f00b1eccf892ac097524,0
./dataset/fake conspiracy theories meme offensive/Image_20.jpg,1,666,500,03412a6f58c393605e3fa0fc824babd5,0
./dataset/fake conspiracy theories meme offensive/Image_19.jpg,1,1000,562,d77ad4de50a283d9d0e45f8804b97a13,1
./dataset/memes about mental health/Image_15.jpg,1,700,858,44f939a3e029aa91ec5923321f2a5892,1
./dataset/memes about mental health/Image_14.jpg,1,700,873,86f4bb9918b250f8c24e76bb03f006a5,1
./dataset/memes about mental health/Image_17.jpg,1,1200,800,43ec211e7e2196145c2f383ef78f5c46,1
./dataset/memes about mental health/Image_13.jpg,1,700,563,564f00a9dffe8672b2c3b66eb03516d4,1
./dataset/memes about mental health/Image_12.jpg,1,700,625,e3eb72b98563cd1f3b86043c149ad7c9,1
./dataset/memes about mental health/Image_10.jpg,1,750,723,9fd0053f22c2e3d5a6bd6fdfcdb30858,0
./dataset/memes about mental health/Image_11.png,1,1200,630,454a076dc1e78fbfa164081cbde1ed0b,1
./dataset/memes about mental health/Image_8.png,1,586,542,d03b7d2163f16755e91f0218dfb7f017,1
./dataset/memes about mental health/Image_9.jpg,1,551,700,9284df799d1c48b09244869b82f8e560,0
./dataset/memes about mental health/Image_19.jpeg,1,768,960,3fcae3b842fa7826caeab30be388d35e,0
./dataset/memes about mental health/Image_2.jpg,1,690,768,c0ef2bccd724ec5d3e93a8bc29b1a566,0
./dataset/memes about mental health/Image_3.jpg,1,700,931,0118608c36a67dab93c91445ab33d58e,0
./dataset/memes about mental health/Image_16.gif,1,700,700,33b951f439ca66b84dc1b1f30809a1e2,1
./dataset/memes about mental health/Image_1.jpg,1,550,550,c12c8aff0af67c593c91c8c5aaf0f6f4,1
./dataset/memes about mental health/Image_4.jpg,1,700,780,6daca7150460680562323ff32fa6d24d,1
./dataset/memes about mental health/Image_5.jpg,1,700,631,f9f693f619e5c7f128aff76cc6772121,0
./dataset/memes about mental health/Image_7.jpg,1,1200,628,72c15ce0ce2a592f04a3ab0227e5738a,1
./dataset/memes about mental health/Image_6.jpg,1,700,867,90c5557786e9795057a6f6e4b6b3408f,0
./dataset/memes about mental health/Image_20.jpg,1,300,300,893cfd2f806accbc59e95fc6808e7924,0
./dataset/memes about mental health/Image_18.png,1,1080,1080,940c358063d33c48306d4fcf5b4754ad,0
./dataset/violence meme offensive/Image_17.jpg,1,620,400,e81bd22d057d1bec4adce9e04e67bea8,1
./dataset/violence meme offensive/Image_12.jpg,1,600,327,6f00b5ab04f936de5ca0868b7cd78485,1
./dataset/violence meme offensive/Image_11.jpg,1,600,400,235aeb3e1267fc30d2eb4d6cab8f0c81,1
./dataset/violence meme offensive/Image_15.jpeg,1,957,1024,b5c8b7141b20e7eb352a33ad312733b9,1
./dataset/violence meme offensive/Image_8.jpg,1,700,368,899530d1b90e16328e2d91131ff1cc9f,1
./dataset/violence meme offensive/Image_9.jpg,1,758,1011,5f121bb9276a3f2bbdc0a24a146eb4c7,0
./dataset/violence meme offensive/Image_19.jpeg,1,1166,1132,bfcf23abc14c90c0d3daa1a3af6d05df,0
./dataset/violence meme offensive/Image_3.jpg,1,609,600,69880ddeeff603e2d77d1ebb2dac3793,1
./dataset/violence meme offensive/Image_16.jpeg,1,1080,1366,4c4cbb62d92a97dfb93928e2e421114b,1
./dataset/toxic masculinity meme offensive/Image_14.jpg,1,500,329,54cecc64d4d325f8ac759fc587951219,0
./dataset/toxic masculinity meme offensive/Image_16.jpg,1,1200,850,b7a4cfec0bbfac5b049b4f6ba27e636c,0
./dataset/toxic masculinity meme offensive/Image_17.png,1,513,513,cf8d9e11e09c12fd9647e86394d4fa2e,0
./dataset/toxic masculinity meme offensive/Image_7.jpeg,1,750,1031,530a4f750d58ec30c637b7c8b2f48538,0
./dataset/toxic masculinity meme offensive/Image_10.jpg,1,640,561,73eb71e057378c97fafb8f46a8b4a459,0
./dataset/toxic masculinity meme offensive/Image_11.png,1,1600,2000,1ea540a9f0a1a1c206172e8f5b1f33ba,0
./dataset/toxic masculinity meme offensive/Image_15.jpeg,1,828,1240,4bf82ee38c0b57b1863e7bb7827182d9,0
./dataset/toxic masculinity meme offensive/Image_8.png,1,800,800,005774db0be9bc6d9fb64ce48485f15a,0
./dataset/toxic masculinity meme offensive/Image_9.jpg,1,460,462,84a8fcdf9cd56b7c5577ecb04e70ef2a,0
./dataset/toxic masculinity meme offensive/Image_2.jpg,1,1920,1280,1b647e62219f2fa89f6f681e53d1c05d,0
./dataset/toxic masculinity meme offensive/Image_12.webp,1,1200,628,868843a476642d9b2a64f40d7543631a,0
./dataset/toxic masculinity meme offensive/Image_3.jpg,1,800,401,10fa76e1fc523d2cac39031d1584023a,1
./dataset/toxic masculinity meme offensive/Image_1.jpg,1,1050,1059,bd4071b2a59d790999c55ffdce4d9f02,0
./dataset/toxic masculinity meme offensive/Image_4.jpg,1,500,608,09a42068618d5ea2d9eea866729b8497,0
./dataset/toxic masculinity meme offensive/Image_5.jpg,1,375,393,3dc374ed5d70bff16ff61224e8ee2f78,0
./dataset/toxic masculinity meme offensive/Image_13.webp,1,1024,536,08a0d4a7761b71450c296814424c9c81,0
./dataset/toxic masculinity meme offensive/Image_6.jpg,1,460,457,784482f56a6e2cc348f707e19b2ebba2,0
./dataset/toxic masculinity meme offensive/Image_20.jpg,1,500,437,d49320aabfb3e388502ba8d774264a9e,0
./dataset/toxic masculinity meme offensive/Image_19.jpg,1,500,500,28521f35f5764c6aa520ee09b26d8fb8,0
./dataset/toxic masculinity meme offensive/Image_18.jpg,1,500,500,f61b0efc1fec5a808defc83701e5287b,0
./dataset/cults meme offensive/Image_15.jpg,1,800,535,5291b4bbe7f8f0c9a72c1571df479a15,0
./dataset/cults meme offensive/Image_14.jpg,1,700,512,3947ba010014acaf91c2d5d36f4ed926,0
./dataset/cults meme offensive/Image_16.jpg,1,1024,611,73d0c7c28a1b25cf8e11e4a81256cc06,0
./dataset/cults meme offensive/Image_17.jpg,1,1280,720,4094425abc9fb8edbfd538b8291648be,0
./dataset/cults meme offensive/Image_13.jpg,1,837,955,11fe69c0cf4360b69719bd98050c39c5,1
./dataset/cults meme offensive/Image_12.jpg,1,837,955,6608992374be70082e4a41509779cc31,0
./dataset/cults meme offensive/Image_11.jpg,1,800,420,9184911d180d00c385a7a4d7a9e7dcbb,1
./dataset/cults meme offensive/Image_19.jpeg,1,1080,1284,4ec7d1300363d2d293485c7c484ef7ee,0
./dataset/cults meme offensive/Image_2.png,1,768,392,eaa69e4a92cf2df1edcc5eda07ef2969,0
./dataset/cults meme offensive/Image_1.jpg,1,896,848,f1a51cbea0c111f079abe4dd41166797,1
./dataset/cults meme offensive/Image_5.jpg,1,591,900,fe004035b73bdd4a161e9047c5253b5d,0
./dataset/cults meme offensive/Image_7.jpg,1,610,488,76b9f533e59277e8c3443738083b58ce,1
./dataset/cults meme offensive/Image_6.jpg,1,564,977,90cfdfbf6ceb4eb4518a5c8d31fd5c9c,1
./dataset/cults meme offensive/Image_20.jpg,1,500,1000,daa32ec120c394315d06ea25b1bc5762,0
./dataset/cults meme offensive/Image_8.jpeg,1,508,982,137f5063446d6787522c84733b43c95e,1
./dataset/cults meme offensive/Image_10.jpeg,1,1084,1443,80e0aeafad0e02ffca0015f266236c81,0
./dataset/cults meme offensive/Image_9.jpeg,1,725,731,f550351325de87b80f83e85a80d75920,1
./dataset/cults meme offensive/Image_18.jpg,1,460,573,fa0317c2053d923fe2cd18dbb67bf75f,1
./dataset/war crimes meme offensive/Image_14.jpg,1,150,150,fe5edd262334b4647f99e661fadb3a83,0
./dataset/war crimes meme offensive/Image_6.jpeg,1,1080,885,8e46af5e93968018ba925c02939f5056,0
./dataset/war crimes meme offensive/Image_17.jpg,1,500,554,2da833c511e7353176b93ed182291d24,0
./dataset/war crimes meme offensive/Image_13.jpg,1,735,585,2bd6b793ab63c18c7fc45666856ab9bb,0
./dataset/war crimes meme offensive/Image_12.jpeg,1,640,962,21cbd35aaa4abb8891e074aaa7ed48af,0
./dataset/war crimes meme offensive/Image_10.png,1,636,661,14f9130297240f6e540e18878c3b12d1,0
./dataset/war crimes meme offensive/Image_15.jpeg,1,896,1118,9d92c37fc2a7540c6e0501b45c31ea92,0
./dataset/war crimes meme offensive/Image_2.jpg,1,807,1200,e3fb4da98cd7211afe5bb0ab37fa2d9d,0
./dataset/war crimes meme offensive/Image_3.png,1,893,1037,43bf65bb98b168a60dbd3389bb73bb13,0
./dataset/war crimes meme offensive/Image_1.jpg,1,747,384,a7087ad55dbd4ee1aeacca3bb6ca88fb,0
./dataset/war crimes meme offensive/Image_4.jpg,1,375,300,13dddc9781dd1ec1920c50ce6599be34,0
./dataset/war crimes meme offensive/Image_7.jpg,1,150,150,024eb98c9a9feac5be9cbc6156b572a2,0
./dataset/war crimes meme offensive/Image_16.jpeg,1,621,402,4c8354568e2c4eb4ac3db3f3e0ac1904,0
./dataset/war crimes meme offensive/Image_20.jpg,1,646,499,6e727fd9cfb399beaccbb7f8fc40ef62,0
./dataset/war crimes meme offensive/Image_8.gif,1,498,280,4a79fc996c499af1cb14f6d6aaea0567,0
./dataset/war crimes meme offensive/Image_11.jpeg,1,680,699,e1e900332660c77153bc15d7326b4015,0
./dataset/war crimes meme offensive/Image_5.jpeg,1,1512,1151,0e00878d4f0797e6f07eed4d68776e80,0
./dataset/war crimes meme offensive/Image_9.jpeg,1,1080,1314,7cc3a7cb16f5483a2e89bf45ed94a749,0
./dataset/war crimes meme offensive/Image_19.jpg,1,500,821,8f0a8549180e19a5d5c2ce7d33077e06,0
./dataset/war crimes meme offensive/Image_18.jpg,1,620,424,e8909f712e8236e106cdf11b0a8688b1,0
./dataset/ageism meme offensive/Image_15.jpg,1,1500,1225,a8bcd64d9877c9f55f8906ec8777fa75,0
./dataset/ageism meme offensive/Image_14.jpg,1,1270,1044,93e31dad1ce9934c6dcc0e02895ea251,0
./dataset/ageism meme offensive/Image_16.jpg,1,870,580,e742a5852722cf73528383e5c74c680d,0
./dataset/ageism meme offensive/Image_13.png,1,1024,1024,7df96be7aa868d21edef6bcfecbe17af,0
./dataset/ageism meme offensive/Image_12.jpg,1,410,1024,5a183b06afe9ddd01744abb59149bebe,0
./dataset/ageism meme offensive/Image_10.png,1,768,741,0840ef28d16508929cbf6894beaabad1,0
./dataset/ageism meme offensive/Image_18.jpeg,1,650,652,dad94e5f1c31b9cc27b73eeb0423a40e,1
./dataset/ageism meme offensive/Image_2.jpg,1,538,201,742a6b199cef9647798557600f6a839f,1
./dataset/ageism meme offensive/Image_17.jpeg,1,640,480,c01f603220843a9b99dc1a64e51eac15,0
./dataset/ageism meme offensive/Image_1.jpg,1,560,315,d6858e97e87ff294b9604eb4150be41e,0
./dataset/ageism meme offensive/Image_5.jpg,1,600,783,d5cc0a7431574d8c74daa3d7479b15db,0
./dataset/ageism meme offensive/Image_6.jpg,1,960,930,b909792e0b45fa94d368427dc527ad99,0
./dataset/ageism meme offensive/Image_19.jpg,1,1600,1690,6f182f9dcf18de72d1009d56d98332fe,0
./dataset/domestic violence meme offensive/Image_15.jpg,1,610,524,4292676807ea06b274b1934fbafbbcc2,0
./dataset/domestic violence meme offensive/Image_14.jpg,1,400,600,ce22fef6cca8ff5bbe6e1d23c2cadcab,0
./dataset/domestic violence meme offensive/Image_16.jpg,1,625,806,561d6e1926724a37a17c0596cd84a7a9,0
./dataset/domestic violence meme offensive/Image_13.jpg,1,1080,1361,88b9030cccd3d7b42edd45aac147fe9f,0
./dataset/domestic violence meme offensive/Image_12.jpg,1,600,480,3a803a253df5ff013a899f6e63eb6d96,0
./dataset/domestic violence meme offensive/Image_10.jpg,1,733,500,69925159440baa0d47831fbbd41314c6,0
./dataset/domestic violence meme offensive/Image_11.png,1,610,1074,76283b385ab4c0f82ee14a7e81159f32,0
./dataset/domestic violence meme offensive/Image_8.jpg,1,1200,800,2dec7faf7f5afc739233806c431bee50,0
./dataset/domestic violence meme offensive/Image_9.jpg,1,460,460,07a5545b0e99ce61735b125db5ecf18c,0
./dataset/domestic violence meme offensive/Image_2.jpg,1,1440,1800,34fafe9f7dcb920486cf520911ef6f32,0
./dataset/domestic violence meme offensive/Image_17.jpeg,1,401,711,78790404a4672efb42ec78d85fab74ca,0
./dataset/domestic violence meme offensive/Image_3.jpg,1,800,800,8a4f01a6fa9068d52763864cd909a185,0
./dataset/domestic violence meme offensive/Image_1.jpg,1,631,654,774bd7a48bd1bb8aed7dd69d60913ed8,0
./dataset/domestic violence meme offensive/Image_4.png,1,648,365,8b6842f48c43616c23dff956f120f5e5,0
./dataset/domestic violence meme offensive/Image_7.jpg,1,640,640,3e4ae45d7cec02d99e2f0f717de7a969,0
./dataset/domestic violence meme offensive/Image_6.jpg,1,600,337,ab1243de84f9fd332d9be198f4701330,0
./dataset/domestic violence meme offensive/Image_19.jpg,1,550,900,3aa9dab53a4c65b83c0fab0a79642efe,0
./dataset/domestic violence meme offensive/Image_18.jpg,1,625,552,463656a20e88d8d317d56d04679de8f7,0
./dataset/homophobic jokes meme offensive/Image_15.jpg,1,574,569,014c77d849d1fe018a09b0b8adee958c,0
